2025-08-28 18:17:24.530 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: 0.01, Z: 0.00
2025-08-28 18:17:24.531 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: -0.00, Z: -0.02
2025-08-28 18:17:24.534 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.00, Z: -0.01
2025-08-28 18:17:24.535 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.01, Z: 0.00
2025-08-28 18:17:24.546 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: -0.01, Z: 0.02
2025-08-28 18:17:24.565 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.01, Z: 0.01
2025-08-28 18:17:24.619 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: -0.00, Z: 0.01
2025-08-28 18:17:24.620 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: 0.01, Z: -0.01
2025-08-28 18:17:24.633 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.00, Z: -0.01
2025-08-28 18:17:24.704 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: -0.01, Z: 0.01
2025-08-28 18:17:24.706 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.01, Z: 0.02
2025-08-28 18:17:24.707 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.00, Z: 0.01
2025-08-28 18:17:24.710 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.00, Z: -0.00
2025-08-28 18:17:24.733 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.00, Z: -0.01
2025-08-28 18:17:24.760 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.01, Z: -0.00
2025-08-28 18:17:24.771 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.01, Z: -0.00
2025-08-28 18:17:24.820 11161-11161 AccelData               com.example.geunhwang                D  X: 0.02, Y: -0.02, Z: -0.00
2025-08-28 18:17:24.822 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.00, Z: -0.00
2025-08-28 18:17:24.832 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: -0.02, Z: -0.02
2025-08-28 18:17:24.878 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: 0.00, Z: 0.00
2025-08-28 18:17:24.880 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: -0.01, Z: -0.00
2025-08-28 18:17:24.888 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: -0.01, Z: -0.00
2025-08-28 18:17:24.930 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.00, Z: 0.00
2025-08-28 18:17:24.932 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.02, Z: 0.00
2025-08-28 18:17:24.966 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.01, Z: 0.01
2025-08-28 18:17:24.968 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.00, Z: 0.00
2025-08-28 18:17:25.023 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.00, Z: -0.00
2025-08-28 18:17:25.024 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.00, Z: -0.01
2025-08-28 18:17:25.025 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.00, Z: 0.01
2025-08-28 18:17:25.046 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.01, Z: 0.01
2025-08-28 18:17:25.069 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: -0.00, Z: 0.00
2025-08-28 18:17:25.102 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.01, Z: -0.00
2025-08-28 18:17:25.107 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.00, Z: -0.01
2025-08-28 18:17:25.123 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.01, Z: -0.01
2025-08-28 18:17:25.145 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: 0.00, Z: 0.00
2025-08-28 18:17:25.180 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: -0.01, Z: -0.00
2025-08-28 18:17:25.185 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: -0.00, Z: 0.00
2025-08-28 18:17:25.209 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.00, Z: 0.00
2025-08-28 18:17:25.232 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: 0.00, Z: -0.00
2025-08-28 18:17:25.256 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.01, Z: -0.00
2025-08-28 18:17:25.271 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: -0.00, Z: 0.00
2025-08-28 18:17:25.285 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: -0.00, Z: 0.00
2025-08-28 18:17:25.303 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: 0.00, Z: 0.01
2025-08-28 18:17:25.323 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: -0.01, Z: 0.00
2025-08-28 18:17:25.346 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: 0.00, Z: -0.00
2025-08-28 18:17:25.367 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: -0.00, Z: 0.00
2025-08-28 18:17:25.383 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: -0.01, Z: -0.00
2025-08-28 18:17:25.403 11161-11161 AccelData               com.example.geunhwang                D  X: -0.00, Y: 0.01, Z: -0.01
2025-08-28 18:17:25.423 11161-11161 AccelData               com.example.geunhwang                D  X: 0.01, Y: -0.01, Z: -0.00
2025-08-28 18:17:25.451 11161-11161 AccelData               com.example.geunhwang                D  X: -0.02, Y: -0.02, Z: -0.02
2025-08-28 18:17:25.463 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.00, Z: 0.00
2025-08-28 18:17:25.483 11161-11161 AccelData               com.example.geunhwang                D  X: 0.00, Y: -0.01, Z: -0.01
2025-08-28 18:17:25.504 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: -0.02, Z: 0.00
2025-08-28 18:17:25.526 11161-11161 AccelData               com.example.geunhwang                D  X: -0.01, Y: 0.01, Z: -0.01
