time,X,Y,Z
2025-08-28 18:46:04.820,-0.3,-0.88,1.16
2025-08-28 18:46:04.889,-0.0,-0.85,1.15
2025-08-28 18:46:04.945,0.03,-0.84,1.16
2025-08-28 18:46:04.981,-0.03,-0.82,1.22
2025-08-28 18:46:05.014,-0.07,-0.82,1.16
2025-08-28 18:46:05.056,0.09,-0.8,1.17
2025-08-28 18:46:05.096,0.19,-0.78,1.19
2025-08-28 18:46:05.142,0.04,-0.78,1.22
2025-08-28 18:46:05.192,0.11,-0.82,1.22
2025-08-28 18:46:05.227,0.47,-0.8,1.24
2025-08-28 18:46:05.248,0.88,-0.75,1.2
2025-08-28 18:46:05.258,1.59,-0.53,1.16
2025-08-28 18:46:05.283,1.8,-0.34,1.14
2025-08-28 18:46:05.302,1.48,-0.28,1.04
2025-08-28 18:46:05.329,1.06,-0.26,1.0
2025-08-28 18:46:05.340,0.59,-0.22,0.93
2025-08-28 18:46:05.350,0.52,-0.21,0.84
2025-08-28 18:46:05.359,0.58,-0.2,0.8
2025-08-28 18:46:05.368,0.61,-0.19,0.71
2025-08-28 18:46:05.377,0.58,-0.16,0.6
2025-08-28 18:46:05.386,0.49,-0.17,0.54
2025-08-28 18:46:05.396,0.43,-0.16,0.55
2025-08-28 18:46:05.406,0.29,-0.17,0.51
2025-08-28 18:46:05.415,0.42,-0.17,0.52
2025-08-28 18:46:05.424,0.46,-0.19,0.49
2025-08-28 18:46:05.434,0.28,-0.22,0.51
2025-08-28 18:46:05.444,0.0,-0.27,0.5
2025-08-28 18:46:05.453,-0.34,-0.41,0.46
2025-08-28 18:46:05.463,-0.36,-0.5,0.42
2025-08-28 18:46:05.473,-0.08,-0.58,0.34
2025-08-28 18:46:05.483,0.29,-0.59,0.3
2025-08-28 18:46:05.491,0.3,-0.62,0.28
2025-08-28 18:46:05.500,0.01,-0.64,0.29
2025-08-28 18:46:05.510,-0.11,-0.65,0.3
2025-08-28 18:46:05.520,-0.07,-0.61,0.27
2025-08-28 18:46:05.529,0.07,-0.57,0.25
2025-08-28 18:46:05.539,0.2,-0.49,0.25
2025-08-28 18:46:05.548,0.11,-0.46,0.22
2025-08-28 18:46:05.557,0.09,-0.43,0.21
2025-08-28 18:46:05.566,-0.0,-0.41,0.17
2025-08-28 18:46:05.576,-0.13,-0.41,0.16
2025-08-28 18:46:05.585,-0.1,-0.39,0.15
2025-08-28 18:46:05.595,-0.0,-0.38,0.1
2025-08-28 18:46:05.604,0.04,-0.35,0.08
2025-08-28 18:46:05.613,-0.11,-0.32,0.07
2025-08-28 18:46:05.622,-0.27,-0.31,0.06
2025-08-28 18:46:05.632,-0.31,-0.28,0.04
2025-08-28 18:46:05.641,-0.28,-0.23,0.02
2025-08-28 18:46:05.651,-0.25,-0.17,0.03
2025-08-28 18:46:05.660,-0.23,-0.12,0.01
2025-08-28 18:46:05.670,-0.24,-0.08,-0.02
2025-08-28 18:46:05.676,-0.22,-0.05,-0.06
2025-08-28 18:46:05.679,-0.2,-0.01,-0.08
2025-08-28 18:46:05.681,-0.22,-0.0,-0.09
2025-08-28 18:46:05.683,-0.17,0.0,-0.09
2025-08-28 18:46:05.686,-0.08,0.03,-0.1
2025-08-28 18:46:05.688,-0.07,0.05,-0.07
2025-08-28 18:46:05.696,-0.11,0.09,0.0
2025-08-28 18:46:05.704,-0.12,0.11,0.07
2025-08-28 18:46:05.714,-0.12,0.09,0.12
2025-08-28 18:46:05.723,-0.01,0.08,0.17
2025-08-28 18:46:05.732,-0.0,0.02,0.2
2025-08-28 18:46:05.742,-0.06,-0.05,0.22
2025-08-28 18:46:05.752,-0.11,-0.11,0.21
2025-08-28 18:46:05.761,-0.05,-0.15,0.22
2025-08-28 18:46:05.770,-0.0,-0.2,0.25
2025-08-28 18:46:05.780,0.05,-0.25,0.31
2025-08-28 18:46:05.789,0.05,-0.27,0.36
2025-08-28 18:46:05.811,-0.04,-0.27,0.43
2025-08-28 18:46:05.820,-0.1,-0.28,0.46
2025-08-28 18:46:05.829,-0.04,-0.28,0.45
2025-08-28 18:46:05.839,0.06,-0.27,0.43
2025-08-28 18:46:05.849,0.05,-0.28,0.43
2025-08-28 18:46:05.858,-0.07,-0.29,0.43
2025-08-28 18:46:05.867,-0.13,-0.31,0.37
2025-08-28 18:46:05.876,0.01,-0.31,0.32
2025-08-28 18:46:05.886,0.11,-0.32,0.27
2025-08-28 18:46:05.895,0.05,-0.36,0.26
2025-08-28 18:46:05.905,-0.1,-0.49,0.24
2025-08-28 18:46:05.913,0.14,-0.58,0.16
2025-08-28 18:46:05.918,0.56,-0.7,0.04
2025-08-28 18:46:05.919,0.51,-0.86,0.05
2025-08-28 18:46:05.921,0.03,-0.97,0.01
2025-08-28 18:46:05.922,-0.04,-1.01,-0.07
2025-08-28 18:46:05.924,0.1,-1.05,-0.17
2025-08-28 18:46:05.925,0.09,-1.13,-0.23
2025-08-28 18:46:05.926,-0.18,-1.16,-0.26
2025-08-28 18:46:05.928,-0.48,-1.24,-0.4
2025-08-28 18:46:05.929,-0.24,-1.29,-0.51
2025-08-28 18:46:05.930,-0.22,-1.38,-0.69
2025-08-28 18:46:05.932,-0.64,-1.51,-0.86
2025-08-28 18:46:05.933,-0.99,-1.56,-1.08
2025-08-28 18:46:05.934,-0.8,-1.67,-1.41
2025-08-28 18:46:06.001,-0.55,-1.74,-1.66
2025-08-28 18:46:06.008,-0.82,-1.72,-1.83
2025-08-28 18:46:06.013,-1.42,-1.65,-2.14
2025-08-28 18:46:06.019,-1.98,-1.46,-2.21
2025-08-28 18:46:06.026,-2.55,-1.29,-2.41
2025-08-28 18:46:06.079,-3.17,-1.03,-2.59
2025-08-28 18:46:06.085,-3.8,-0.62,-2.63
2025-08-28 18:46:06.087,-4.18,-0.3,-2.57
2025-08-28 18:46:06.115,-4.58,0.01,-2.61
2025-08-28 18:46:06.127,-4.56,0.36,-2.61
2025-08-28 18:46:06.180,-4.14,0.63,-2.36
2025-08-28 18:46:06.187,-3.87,0.9,-2.09
2025-08-28 18:46:06.192,-3.19,0.99,-1.85
2025-08-28 18:46:06.218,-2.47,1.15,-1.69
2025-08-28 18:46:06.225,-2.24,1.33,-1.54
2025-08-28 18:46:06.267,-2.37,1.37,-1.29
2025-08-28 18:46:06.273,-2.74,1.47,-0.91
2025-08-28 18:46:06.323,-3.24,1.54,-0.88
2025-08-28 18:46:06.329,-3.9,1.54,-1.19
2025-08-28 18:46:06.336,-3.08,1.14,-0.71
2025-08-28 18:46:06.380,-2.48,0.77,-0.6
2025-08-28 18:46:06.387,-2.26,0.46,-0.17
2025-08-28 18:46:06.392,-1.6,0.09,-0.04
2025-08-28 18:46:06.437,-0.47,0.09,-0.04
2025-08-28 18:46:06.444,0.22,0.11,-0.14
2025-08-28 18:46:06.447,0.63,0.12,-0.15
2025-08-28 18:46:06.467,0.81,0.06,-0.1
2025-08-28 18:46:06.485,0.51,0.07,0.0
2025-08-28 18:46:06.521,0.3,0.07,0.01
2025-08-28 18:46:06.526,0.31,0.06,0.05
2025-08-28 18:46:06.554,0.28,0.07,0.07
2025-08-28 18:46:06.587,0.25,0.0,0.05
2025-08-28 18:46:06.592,0.2,-0.02,0.05
2025-08-28 18:46:06.614,0.09,-0.01,0.03
2025-08-28 18:46:06.627,0.01,0.0,0.01
2025-08-28 18:46:06.645,-0.04,-0.02,-0.0
2025-08-28 18:46:06.661,-0.05,-0.05,-0.0
2025-08-28 18:46:06.688,-0.03,-0.03,-0.02
2025-08-28 18:46:06.702,-0.0,-0.04,-0.06
2025-08-28 18:46:06.723,-0.02,-0.02,-0.06
2025-08-28 18:46:06.740,-0.09,-0.04,-0.03
2025-08-28 18:46:06.760,-0.17,-0.06,-0.0
2025-08-28 18:46:06.781,-0.23,-0.1,0.01
2025-08-28 18:46:06.803,-0.27,-0.09,0.03
2025-08-28 18:46:06.820,-0.3,-0.1,0.0
2025-08-28 18:46:06.840,-0.28,-0.06,-0.02
2025-08-28 18:46:06.861,-0.29,-0.09,-0.0
2025-08-28 18:46:06.884,-0.37,-0.11,-0.02
2025-08-28 18:46:06.906,-0.55,-0.1,-0.01
2025-08-28 18:46:06.926,-0.8,-0.11,0.0
