X,Y,Z
-0.01,0.02,-0.28
1.24,-0.89,0.18
-0.01,-2.28,-0.2
1.56,-2.62,-0.05
0.95,-2.53,0.06
-0.97,-2.07,0.21
-1.97,-2.04,0.07
-1.15,-1.8,-0.09
0.56,-1.12,-0.2
0.45,-0.74,-0.2
-0.52,-0.36,-0.11
-0.9,-0.03,-0.08
-0.05,0.52,0.07
0.82,0.82,0.1
1.0,1.11,0.08
0.6,1.51,0.06
0.21,1.97,-0.01
0.44,2.07,-0.09
1.07,2.18,-0.18
1.31,2.3,-0.31
1.01,2.29,-0.38
0.14,2.35,-0.34
-0.01,2.37,-0.3
0.02,2.3,-0.19
0.6,2.21,-0.13
1.44,2.27,-0.12
1.7,2.43,-0.21
1.2,2.48,-0.24
0.66,2.56,-0.22
0.31,2.57,-0.21
0.28,2.62,-0.16
0.65,2.61,-0.16
0.87,2.48,-0.19
0.67,2.51,-0.16
0.16,2.57,-0.11
-0.19,2.38,-0.07
-0.09,2.28,-0.03
0.3,2.22,-0.01
0.38,2.09,-0.01
0.19,1.98,0.03
-0.21,1.96,0.08
-0.28,1.89,0.12
0.1,1.8,0.07
0.57,1.69,-0.05
0.33,1.73,-0.12
-0.35,1.8,-0.12
-0.73,1.73,-0.12
-0.5,1.57,-0.11
0.01,1.46,-0.11
0.34,1.28,-0.19
0.37,1.04,-0.22
-0.59,-1.41,-0.01
-0.09,-2.05,0.18
0.01,-2.0,0.22
0.47,-1.9,0.26
0.33,-1.59,0.27
-0.01,-1.47,0.25
-0.35,-1.48,0.2
-0.54,-1.39,0.21
-0.42,-1.25,0.09
-0.45,-0.99,0.04
-0.53,-0.97,0.0
-0.46,-0.88,-0.03
-0.35,-0.45,-0.05
-0.43,0.09,-0.0
-0.3,0.33,-0.0
0.15,0.62,-0.0
0.51,1.36,-0.05
0.38,1.72,-0.04
0.27,1.93,-0.09
0.31,2.18,-0.14
0.52,2.26,-0.22
0.78,2.31,-0.29
0.96,2.42,-0.39
1.08,2.47,-0.51
0.92,2.64,-0.57
0.92,2.53,-0.57
0.36,2.67,-0.51
0.46,2.79,-0.55
0.43,2.97,-0.52
0.53,2.86,-0.57
0.48,2.73,-0.56
-0.09,2.75,-0.5
-0.42,2.61,-0.5
-0.5,2.37,-0.43
-0.42,2.26,-0.4
-0.33,2.17,-0.37
-0.26,2.09,-0.35
-0.39,2.09,-0.2
-0.22,2.08,-0.16
-0.2,2.04,-0.09
-0.28,1.98,-0.05
-0.6,2.01,0.04
-0.43,2.02,0.0
-0.22,1.95,0.04
-0.19,1.88,0.04
-0.25,1.86,0.08
-0.53,1.78,0.1
-0.45,1.65,0.09
-0.14,1.55,0.05
0.16,1.25,-0.07
