time,X,Y,Z
2025-08-28 18:46:04.848,-2.55,-5.52,7.5
2025-08-28 18:46:04.916,-2.78,-5.15,7.62
2025-08-28 18:46:04.972,-2.89,-5.07,7.62
2025-08-28 18:46:04.992,-3.05,-5.73,7.76
2025-08-28 18:46:05.029,-3.11,-5.77,7.83
2025-08-28 18:46:05.073,-3.26,-4.82,8.42
2025-08-28 18:46:05.118,-3.59,-4.87,8.92
2025-08-28 18:46:05.167,-3.46,-5.06,8.85
2025-08-28 18:46:05.211,-3.48,-4.6,9.36
2025-08-28 18:46:05.242,-3.17,-4.07,9.5
2025-08-28 18:46:05.255,-2.76,-3.64,9.61
2025-08-28 18:46:05.271,-3.14,-1.99,10.5
2025-08-28 18:46:05.293,-3.58,-0.5,10.86
2025-08-28 18:46:05.323,-3.5,0.1,10.47
2025-08-28 18:46:05.335,-3.46,0.02,9.6
2025-08-28 18:46:05.345,-3.29,0.08,8.99
2025-08-28 18:46:05.355,-3.11,0.16,9.05
2025-08-28 18:46:05.364,-2.63,0.4,8.81
2025-08-28 18:46:05.373,-2.38,0.67,8.8
2025-08-28 18:46:05.381,-2.22,0.77,8.6
2025-08-28 18:46:05.391,-2.35,0.96,8.36
2025-08-28 18:46:05.401,-2.14,0.54,8.46
2025-08-28 18:46:05.410,-2.14,0.35,8.2
2025-08-28 18:46:05.420,-2.12,0.93,8.49
2025-08-28 18:46:05.429,-2.24,1.11,8.83
2025-08-28 18:46:05.439,-2.39,1.25,9.19
2025-08-28 18:46:05.448,-2.39,1.08,9.11
2025-08-28 18:46:05.459,-2.37,0.6,8.84
2025-08-28 18:46:05.468,-2.13,0.11,8.52
2025-08-28 18:46:05.478,-1.88,0.48,8.78
2025-08-28 18:46:05.487,-1.8,1.32,9.18
2025-08-28 18:46:05.496,-1.79,1.27,9.21
2025-08-28 18:46:05.505,-1.65,1.0,8.89
2025-08-28 18:46:05.515,-1.54,0.84,9.04
2025-08-28 18:46:05.525,-1.5,1.01,8.78
2025-08-28 18:46:05.534,-1.75,1.0,9.2
2025-08-28 18:46:05.543,-1.73,0.88,9.39
2025-08-28 18:46:05.553,-1.79,0.89,9.6
2025-08-28 18:46:05.562,-1.91,1.13,9.62
2025-08-28 18:46:05.572,-2.08,1.08,9.55
2025-08-28 18:46:05.581,-1.74,0.4,9.38
2025-08-28 18:46:05.590,-1.38,0.64,9.53
2025-08-28 18:46:05.600,-1.13,1.05,9.81
2025-08-28 18:46:05.609,-0.85,1.21,9.91
2025-08-28 18:46:05.618,-0.71,0.92,9.7
2025-08-28 18:46:05.627,-0.46,0.68,9.27
2025-08-28 18:46:05.637,-0.18,0.55,9.28
2025-08-28 18:46:05.647,-0.03,0.35,9.4
2025-08-28 18:46:05.656,0.16,0.02,9.65
2025-08-28 18:46:05.665,0.54,-0.01,9.62
2025-08-28 18:46:05.675,0.6,-0.07,9.42
2025-08-28 18:46:05.677,0.64,-0.37,9.47
2025-08-28 18:46:05.680,0.83,-0.68,9.58
2025-08-28 18:46:05.682,1.21,-0.89,9.2
2025-08-28 18:46:05.684,1.28,-0.93,9.4
2025-08-28 18:46:05.687,1.29,-0.97,9.48
2025-08-28 18:46:05.691,1.31,-1.21,9.55
2025-08-28 18:46:05.700,1.13,-1.4,9.68
2025-08-28 18:46:05.709,1.05,-1.54,9.81
2025-08-28 18:46:05.719,0.71,-1.68,10.02
2025-08-28 18:46:05.728,0.37,-1.26,10.23
2025-08-28 18:46:05.737,0.42,-0.95,10.1
2025-08-28 18:46:05.747,0.55,-1.22,9.89
2025-08-28 18:46:05.757,0.75,-1.29,9.95
2025-08-28 18:46:05.766,0.74,-1.11,9.97
2025-08-28 18:46:05.776,0.95,-0.98,9.86
2025-08-28 18:46:05.785,1.2,-0.7,9.72
2025-08-28 18:46:05.806,1.26,-0.56,9.61
