time,X_gyro,Y_gyro,Z_gyro,t_sec_gyro,X_accel,Y_accel,Z_accel,t_sec_accel
2025-08-28 18:46:04.820,-0.3,-0.88,1.16,0.0,,,,
2025-08-28 18:46:04.889,-0.0,-0.85,1.15,0.069,,,,
2025-08-28 18:46:04.945,0.03,-0.84,1.16,0.125,,,,
2025-08-28 18:46:04.981,-0.03,-0.82,1.22,0.161,-2.89,-5.07,7.62,0.124
2025-08-28 18:46:05.014,-0.07,-0.82,1.16,0.194,-3.11,-5.77,7.83,0.181
2025-08-28 18:46:05.056,0.09,-0.8,1.17,0.236,-3.26,-4.82,8.42,0.225
2025-08-28 18:46:05.096,0.19,-0.78,1.19,0.276,,,,
2025-08-28 18:46:05.142,0.04,-0.78,1.22,0.322,,,,
2025-08-28 18:46:05.192,0.11,-0.82,1.22,0.372,-3.48,-4.6,9.36,0.363
2025-08-28 18:46:05.227,0.47,-0.8,1.24,0.407,-3.17,-4.07,9.5,0.394
2025-08-28 18:46:05.248,0.88,-0.75,1.2,0.428,-3.17,-4.07,9.5,0.394
2025-08-28 18:46:05.258,1.59,-0.53,1.16,0.438,-2.76,-3.64,9.61,0.407
2025-08-28 18:46:05.283,1.8,-0.34,1.14,0.463,-3.58,-0.5,10.86,0.445
2025-08-28 18:46:05.302,1.48,-0.28,1.04,0.482,-3.58,-0.5,10.86,0.445
2025-08-28 18:46:05.329,1.06,-0.26,1.0,0.509,-3.5,0.1,10.47,0.475
2025-08-28 18:46:05.340,0.59,-0.22,0.93,0.52,-3.46,0.02,9.6,0.487
2025-08-28 18:46:05.350,0.52,-0.21,0.84,0.53,-3.29,0.08,8.99,0.497
2025-08-28 18:46:05.359,0.58,-0.2,0.8,0.539,-3.11,0.16,9.05,0.507
2025-08-28 18:46:05.368,0.61,-0.19,0.71,0.548,-2.63,0.4,8.81,0.516
2025-08-28 18:46:05.377,0.58,-0.16,0.6,0.557,-2.38,0.67,8.8,0.525
2025-08-28 18:46:05.386,0.49,-0.17,0.54,0.566,-2.22,0.77,8.6,0.533
2025-08-28 18:46:05.396,0.43,-0.16,0.55,0.576,-2.35,0.96,8.36,0.543
2025-08-28 18:46:05.406,0.29,-0.17,0.51,0.586,-2.14,0.35,8.2,0.562
2025-08-28 18:46:05.415,0.42,-0.17,0.52,0.595,-2.14,0.35,8.2,0.562
2025-08-28 18:46:05.424,0.46,-0.19,0.49,0.604,-2.12,0.93,8.49,0.572
2025-08-28 18:46:05.434,0.28,-0.22,0.51,0.614,-2.24,1.11,8.83,0.581
2025-08-28 18:46:05.444,0.0,-0.27,0.5,0.624,-2.39,1.08,9.11,0.6
2025-08-28 18:46:05.453,-0.34,-0.41,0.46,0.633,-2.39,1.08,9.11,0.6
2025-08-28 18:46:05.463,-0.36,-0.5,0.42,0.643,-2.37,0.6,8.84,0.611
2025-08-28 18:46:05.473,-0.08,-0.58,0.34,0.653,-2.13,0.11,8.52,0.62
2025-08-28 18:46:05.483,0.29,-0.59,0.3,0.663,-1.8,1.32,9.18,0.639
2025-08-28 18:46:05.491,0.3,-0.62,0.28,0.671,-1.8,1.32,9.18,0.639
2025-08-28 18:46:05.500,0.01,-0.64,0.29,0.68,-1.79,1.27,9.21,0.648
2025-08-28 18:46:05.510,-0.11,-0.65,0.3,0.69,-1.65,1.0,8.89,0.657
2025-08-28 18:46:05.520,-0.07,-0.61,0.27,0.7,-1.54,0.84,9.04,0.667
2025-08-28 18:46:05.529,0.07,-0.57,0.25,0.709,-1.5,1.01,8.78,0.677
2025-08-28 18:46:05.539,0.2,-0.49,0.25,0.719,-1.73,0.88,9.39,0.695
